KEY,ENGLISH,FRENCH,CHINESE,
addToLabels,Add ${variable} to labels,Ajouter ${variable} aux libellés,将 ${variable} 添加到标签,
addToValues,Add ${variable} to values,Ajouter ${variable} aux valeurs,将 ${variable} 添加到值,
andCondition,AND,ET,和,
applyFilter,Apply,Appliquer,申请,
area,Area,Zone,区域,
areaChart,Area,Zone,区域,
AreaColumnCombo,Area & Column,Zone et colonne,面积&列,
areaColumnComboTooltip,Area & Column,Zone et colonne,面积&列,
areaGroup,Area,Zone,区域,
ariaChecked,checked,vérifié,检查,
ariaColumn,Column,Colonne,柱子,
ariaColumnGroup,Column Group,Groupe de colonnes,列组,
ariaColumnList,Column List,Liste des colonnes,列列表,
ariaColumnSelectAll,Toggle Select All Columns,Toggle Sélectionner toutes les colonnes,Toggle 选择所有列,
ariaDateFilterInput,Date Filter Input,Filtre d'entrée de la date,日期过滤器输入,
ariaDefaultListName,List,Liste,列表,
ariaDropZoneColumnComponentAggFuncSeperator, of ,de,的,
ariaDropZoneColumnComponentDescription,Press DELETE to remove,Appuyez sur SUPPRIMER pour supprimer,按删除删除,
ariaDropZoneColumnComponentSortAscending,ascending,Ascendant,上升,
ariaDropZoneColumnComponentSortDescending,descending,descendant,下降,
ariaDropZoneColumnGroupItemDescription,Press ENTER to sort,Appuyez sur ENTER pour trier,按 ENTER 排序,
ariaDropZoneColumnValueItemDescription,Press ENTER to change the aggregation type,Appuyez sur ENTRÉE pour modifier le type d'agrégation,按 ENTER 更改聚合类型,
ariaFilterColumnsInput,Filter Columns Input,Filtrer l'entrée des colonnes,过滤列输入,
ariaFilterFromValue,Filter from value,Filtrer à partir de la valeur,从值过滤,
ariaFilteringOperator,Filtering Operator,Opérateur de filtrage,过滤运算符,
ariaFilterInput,Filter Input,Filtrer l'entrée,过滤输入,
ariaFilterList,Filter List,Filtrer la liste,过滤器列表,
ariaFilterToValue,Filter to value,Filtrer par valeur,筛选值,
ariaFilterValue,Filter Value,Valeur de filtre,过滤值,
ariaHidden,hidden,caché,隐,
ariaIndeterminate,indeterminate,indéterminé,不定,
ariaInputEditor,Input Editor,Éditeur d'entrée,输入编辑器,
